city,term,url
Compton,dentists,"https://www.google.com/maps/search/compton+california+dentists/@33.893,-118.2274,12z/"
Brockton,dentists,"https://www.google.com/maps/search/brockton+massachusetts+dentists/@42.0821,-71.0242,12z/"
South Gate,dentists,"https://www.google.com/maps/search/south+gate+california+dentists/@33.9447,-118.1926,12z/"
Sunrise,dentists,"https://www.google.com/maps/search/sunrise+florida+dentists/@26.1547,-80.2997,12z/"
Quincy,dentists,"https://www.google.com/maps/search/quincy+massachusetts+dentists/@42.2506,-71.0187,12z/"
Plantation,dentists,"https://www.google.com/maps/search/plantation+florida+dentists/@26.1259,-80.2617,12z/"
Lynn,dentists,"https://www.google.com/maps/search/lynn+massachusetts+dentists/@42.4781,-70.9664,12z/"
Arden-Arcade,dentists,"https://www.google.com/maps/search/arden-arcade+california+dentists/@38.6017,-121.3845,12z/"
Santa Monica,dentists,"https://www.google.com/maps/search/santa+monica+california+dentists/@34.0235,-118.481,12z/"
Carson,dentists,"https://www.google.com/maps/search/carson+california+dentists/@33.8374,-118.2559,12z/"
Kirkland,dentists,"https://www.google.com/maps/search/kirkland+washington+dentists/@47.697,-122.2057,12z/"
Westminster,dentists,"https://www.google.com/maps/search/westminster+california+dentists/@33.7523,-117.9938,12z/"
San Leandro,dentists,"https://www.google.com/maps/search/san+leandro+california+dentists/@37.7074,-122.1599,12z/"
Germantown,dentists,"https://www.google.com/maps/search/germantown+maryland+dentists/@39.1755,-77.2643,12z/"
Miami Beach,dentists,"https://www.google.com/maps/search/miami+beach+florida+dentists/@25.8171,-80.1396,12z/"
State College,dentists,"https://www.google.com/maps/search/state+college+pennsylvania+dentists/@40.7909,-77.8567,12z/"
Newton,dentists,"https://www.google.com/maps/search/newton+massachusetts+dentists/@42.3316,-71.2085,12z/"
Citrus Heights,dentists,"https://www.google.com/maps/search/citrus+heights+california+dentists/@38.6948,-121.288,12z/"
Hawthorne,dentists,"https://www.google.com/maps/search/hawthorne+california+dentists/@33.9147,-118.3476,12z/"
Napa,dentists,"https://www.google.com/maps/search/napa+california+dentists/@38.2975,-122.301,12z/"
Clifton,dentists,"https://www.google.com/maps/search/clifton+new+jersey+dentists/@40.863,-74.1575,12z/"
Whittier,dentists,"https://www.google.com/maps/search/whittier+california+dentists/@33.9678,-118.0188,12z/"
Largo,dentists,"https://www.google.com/maps/search/largo+florida+dentists/@27.9088,-82.7712,12z/"
Lake Forest,dentists,"https://www.google.com/maps/search/lake+forest+california+dentists/@33.6605,-117.6714,12z/"
Redwood City,dentists,"https://www.google.com/maps/search/redwood+city+california+dentists/@37.5025,-122.2253,12z/"
Alhambra,dentists,"https://www.google.com/maps/search/alhambra+california+dentists/@34.084,-118.1355,12z/"
Buena Park,dentists,"https://www.google.com/maps/search/buena+park+california+dentists/@33.8572,-118.0046,12z/"
Cicero,dentists,"https://www.google.com/maps/search/cicero+illinois+dentists/@41.8445,-87.7593,12z/"
Pine Hills,dentists,"https://www.google.com/maps/search/pine+hills+florida+dentists/@28.5818,-81.4692,12z/"
San Ramon,dentists,"https://www.google.com/maps/search/san+ramon+california+dentists/@37.7624,-121.9365,12z/"
Somerville,dentists,"https://www.google.com/maps/search/somerville+massachusetts+dentists/@42.3908,-71.1014,12z/"
